LOCATION;STATION-1;STATION-2
BELEP;;
BOULOUPARIS;LA OUENGHI;
BOURAIL;BOURAIL;NESSADIOU
CANALA;CANALA;
DUMBEA;MTGNE SOURCES;
FARINO;LA FOA;
HIENGHENE;HIENGHENE GEND.;
HOUAILOU;HOUAILOU P.;
ILE DES PINS;MOUE;
KAALA GOMEN;OUACO;
KONE;KONE;
KOUAOUA;CANALA;HOUAILOU P.
KOUMAC;KOUMAC;
LA FOA;LA FOA;POCQUEREUX
LIFOU;CHEPENEHE;OUANAHAM
MARE;LA ROCHE;TADINE
MOINDOU;BOURAIL;LA FOA
MONT DORE;LA COULEE;
NOUMEA;NOUMEA;MAGENTA
OUEGOA;;
OUVEA;OULOUP;
PAITA;LA TONTOUTA;PORT LAGUERRE
POINDIMIE;POINDIMIE;
PONERIHOUEN;PONERIHOUEN;
POUEBO;;
POUEMBOUT;KONE;NEPOUI
POUM;;
POYA;POYA;NEPOUI
SARRAMEA;LA FOA;
THIO;BORINDI;
TOUHO;TOUHO AEROD.;
VOH;OUACO;KONE
YATE;YATE MRIE;OUINNE
